date,streams
2021-08-05,38305677.0
2021-08-06,38156580.0
2021-08-07,34443997.0
2021-08-08,32936418.0
2021-08-09,36408395.0
2021-08-10,36191820.0
2021-08-11,35858630.0
2021-08-12,35932742.0
2021-08-13,34860308.0
2021-08-14,33078567.0
2021-08-15,30885939.0
2021-08-16,33158772.0
2021-08-17,33035473.0
2021-08-18,33109257.0
2021-08-19,32955629.0
2021-08-20,32727307.0
2021-08-21,30843876.0
2021-08-22,28701543.0
2021-08-23,31173780.0
2021-08-24,31683831.0
2021-08-25,32372102.0
2021-08-26,32614700.0
2021-08-27,31908729.0
2021-08-28,29856519.0
2021-08-29,27251187.0
2021-08-30,28818253.0
2021-08-31,28775484.0
2021-09-01,28710836.0
2021-09-02,28612413.0
2021-09-03,27605720.0
2021-09-04,25635960.0
2021-09-05,23830110.0
2021-09-06,25581193.0
2021-09-07,25716400.0
2021-09-08,25796019.0
2021-09-09,25724230.0
2021-09-10,24882175.0
2021-09-11,23415567.0
2021-09-12,22497199.0
2021-09-13,25015406.0
2021-09-14,25220625.0
2021-09-15,25273449.0
2021-09-16,24786552.0
2021-09-17,24752616.0
2021-09-18,23430188.0
2021-09-19,22491626.0
2021-09-20,24475696.0
2021-09-21,24598810.0
2021-09-22,24849631.0
2021-09-23,24772336.0
2021-09-24,24371738.0
2021-09-25,22823918.0
2021-09-26,21367199.0
2021-09-27,23104861.0
2021-09-28,23153653.0
2021-09-29,23192369.0
2021-09-30,22847367.0
2021-10-01,23039197.0
2021-10-02,21901449.0
2021-10-03,20643338.0
2021-10-04,22095843.0
2021-10-05,22081282.0
2021-10-06,22251293.0
2021-10-07,22185019.0
2021-10-08,21185364.0
2021-10-09,19926885.0
2021-10-10,19260973.0
2021-10-11,20488611.0
2021-10-12,19799973.0
2021-10-13,19879608.0
2021-10-14,19936369.0
2021-10-15,19333897.0
2021-10-16,18428536.0
2021-10-17,17217964.0
2021-10-18,18467196.0
2021-10-19,18665720.0
2021-10-20,18725929.0
2021-10-21,18953788.0
2021-10-22,18878058.0
2021-10-23,17993019.0
2021-10-24,16779514.0
2021-10-25,18000117.0
2021-10-26,18240913.0
2021-10-27,18428159.0
2021-10-28,18193461.0
2021-10-29,17670458.0
2021-10-30,15102557.0
2021-10-31,12959273.0
2021-11-01,15902767.0
2021-11-02,16668474.0
2021-11-03,17059682.0
2021-11-04,17037761.0
2021-11-05,15673780.0
2021-11-06,15753949.0
2021-11-07,14806587.0
2021-11-08,15897814.0
2021-11-09,16223010.0
2021-11-10,16415059.0
2021-11-11,16336191.0
2021-11-12,13031727.0
2021-11-13,11909457.0
2021-11-14,11461526.0
2021-11-15,11985856.0
2021-11-16,12036866.0
2021-11-17,12571954.0
2021-11-18,12621711.0
2021-11-19,12075006.0
2021-11-20,11445244.0
2021-11-21,10972400.0
2021-11-22,12926022.0
2021-11-23,13811351.0
2021-11-24,14850383.0
2021-11-25,12640830.0
2021-11-26,12200721.0
2021-11-27,11711545.0
2021-11-28,11262095.0
2021-11-29,12956117.0
2021-11-30,13146545.0
