date,streams
2021-09-01,1165312.0
2021-09-02,1173464.0
2021-09-03,286398.0
2021-09-04,1104772.0
2021-09-05,1040705.0
2021-09-06,1084511.0
2021-09-07,1098406.0
2021-09-08,1135710.0
2021-09-09,1136192.0
2021-09-10,1182930.0
2021-09-11,1179881.0
2021-09-12,1059704.0
2021-09-13,1094664.0
2021-09-14,1121528.0
2021-09-15,1146308.0
2021-09-16,1161835.0
2021-09-17,1210575.0
2021-09-18,1189981.0
2021-09-19,1059759.0
2021-09-20,1085315.0
2021-09-21,1118404.0
2021-09-22,1148791.0
2021-09-23,1156406.0
2021-09-24,1210479.0
2021-09-25,1173781.0
2021-09-26,1051434.0
2021-09-27,1094127.0
2021-09-28,1110872.0
2021-09-29,1136499.0
2021-09-30,1134559.0
2021-10-01,1189744.0
2021-10-02,1167601.0
2021-10-03,1029637.0
2021-10-04,1072721.0
2021-10-05,1100040.0
2021-10-06,1103811.0
2021-10-07,1121856.0
2021-10-08,1180683.0
2021-10-09,1157894.0
2021-10-10,1015122.0
2021-10-11,1046701.0
2021-10-12,1066626.0
2021-10-13,1088523.0
2021-10-14,1100550.0
2021-10-15,1140250.0
2021-10-16,1127202.0
2021-10-17,1003241.0
2021-10-18,1030222.0
2021-10-19,1050399.0
2021-10-20,1075946.0
2021-10-21,1101502.0
2021-10-22,1172210.0
2021-10-23,1356628.0
2021-10-24,1227069.0
2021-10-25,1052070.0
2021-10-26,1083782.0
2021-10-27,1118516.0
2021-10-28,1169540.0
2021-10-29,1478685.0
2021-10-30,1598917.0
2021-10-31,2405553.0
2021-11-01,1301326.0
2021-11-02,1064625.0
2021-11-03,1097608.0
2021-11-04,1127542.0
2021-11-05,17675766.0
2021-11-06,12338236.0
2021-11-07,8797626.0
2021-11-08,10796916.0
2021-11-09,9858238.0
2021-11-10,9298313.0
2021-11-11,7655948.0
2021-11-12,6995065.0
2021-11-13,5800404.0
2021-11-14,4675712.0
2021-11-15,4843733.0
2021-11-16,3683374.0
2021-11-17,3512671.0
2021-11-18,3431253.0
2021-11-19,3447163.0
2021-11-20,2828653.0
2021-11-21,2416740.0
2021-11-22,2620101.0
2021-11-23,2776658.0
2021-11-24,2491376.0
2021-11-25,1516310.0
2021-11-26,1393593.0
2021-11-27,592572.0
2021-11-28,549806.0
2021-11-29,1360748.0
2021-11-30,1398558.0
