date,streams
2021-08-04,13565701.0
2021-08-05,13655238.0
2021-08-06,13075757.0
2021-08-07,11660406.0
2021-08-08,10775065.0
2021-08-09,12151760.0
2021-08-10,11935415.0
2021-08-11,11759037.0
2021-08-12,11982430.0
2021-08-13,11427971.0
2021-08-14,10626004.0
2021-08-15,10025398.0
2021-08-16,10911408.0
2021-08-17,10855954.0
2021-08-18,10707418.0
2021-08-19,10689958.0
2021-08-20,10196006.0
2021-08-21,9708468.0
2021-08-22,9192711.0
2021-08-23,9890077.0
2021-08-24,9869004.0
2021-08-25,10076472.0
2021-08-26,10239677.0
2021-08-27,21823010.0
2021-08-28,15737940.0
2021-08-29,12838515.0
2021-08-30,12591193.0
2021-08-31,11427321.0
2021-09-01,11877358.0
2021-09-02,11025461.0
2021-09-03,10228086.0
2021-09-04,9554323.0
2021-09-05,9017680.0
2021-09-06,9227578.0
2021-09-07,9464374.0
2021-09-08,9238508.0
2021-09-09,9528968.0
2021-09-10,8869932.0
2021-09-11,8545755.0
2021-09-12,8345117.0
2021-09-13,9187382.0
2021-09-14,8629954.0
2021-09-15,8775334.0
2021-09-16,8215870.0
2021-09-17,8139888.0
2021-09-18,7904691.0
2021-09-19,7628767.0
2021-09-20,8115273.0
2021-09-21,8170822.0
2021-09-22,8058580.0
2021-09-23,8332039.0
2021-09-24,12700205.0
2021-09-25,10273156.0
2021-09-26,9069904.0
2021-09-27,9048853.0
2021-09-28,8708819.0
2021-09-29,7605404.0
2021-09-30,7600473.0
2021-10-01,7285584.0
2021-10-02,7079303.0
2021-10-03,6876130.0
2021-10-04,7031941.0
2021-10-05,7097143.0
2021-10-06,7107165.0
2021-10-07,7167555.0
2021-10-08,6992093.0
2021-10-09,6989459.0
2021-10-10,6906577.0
2021-10-11,6895841.0
2021-10-12,6853076.0
2021-10-13,6737668.0
2021-10-14,6710782.0
2021-10-15,6407930.0
2021-10-16,6357642.0
2021-10-17,6228060.0
2021-10-18,6256171.0
2021-10-19,6254109.0
2021-10-20,6155480.0
2021-10-21,6160536.0
2021-10-22,6139854.0
2021-10-23,6041134.0
2021-10-24,5783675.0
2021-10-25,6233379.0
2021-10-26,6332318.0
2021-10-27,6367706.0
2021-10-28,6283593.0
2021-10-29,5992701.0
2021-10-30,6033857.0
2021-10-31,5836165.0
2021-11-01,5639414.0
2021-11-02,5717208.0
2021-11-03,6224322.0
2021-11-04,5914656.0
2021-11-05,5713356.0
2021-11-06,5656498.0
2021-11-07,6254162.0
2021-11-08,6029566.0
2021-11-09,5924318.0
2021-11-10,5991352.0
2021-11-11,5839766.0
2021-11-12,5466184.0
2021-11-13,5425266.0
2021-11-14,5474679.0
2021-11-15,5212839.0
2021-11-16,5147814.0
2021-11-17,5277837.0
2021-11-18,5223061.0
2021-11-19,5239488.0
2021-11-20,5473123.0
2021-11-21,5139105.0
2021-11-22,5056679.0
2021-11-23,5960218.0
2021-11-24,5873405.0
2021-11-25,5659039.0
2021-11-26,5382984.0
2021-11-27,5459142.0
2021-11-28,5413939.0
2021-11-29,5415000.0
2021-11-30,5663445.0
